City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,hawaiian paradise park,19.5933,-154.9731,27.07,71,40,4.63,US,1685840260
1,stanley,54.868,-1.6985,6.61,90,0,1.03,GB,1685840260
2,punta arenas,-53.15,-70.9167,3.95,86,100,2.27,CL,1685840178
3,tual,-5.6667,132.75,27.21,81,88,8.5,ID,1685840260
4,nuku'alofa,-21.1333,-175.2,26.19,65,40,3.6,TO,1685840260
5,kingston,17.997,-76.7936,26.53,89,75,5.14,JM,1685840260
6,akureyri,65.6835,-18.0878,11.96,54,75,6.17,IS,1685840261
7,adamstown,-25.066,-130.1015,23.06,69,100,6.56,PN,1685840261
8,margaret river,-33.95,115.0667,16.97,65,62,9.8,AU,1685839531
9,puerto ayora,-0.7393,-90.3518,25.86,94,29,1.79,EC,1685840261
10,bethel,41.3712,-73.414,14.46,76,40,5.66,US,1685840261
11,nuuk,64.1835,-51.7216,0.49,86,83,10.73,GL,1685840261
12,qaqortoq,60.7167,-46.0333,0.87,89,94,2.62,GL,1685840261
13,longyearbyen,78.2186,15.6401,1.91,69,0,1.54,SJ,1685840261
14,qarqaraly,49.4058,75.4742,18.86,40,0,2.22,KZ,1685840261
15,port-aux-francais,-49.35,70.2167,7.71,92,100,15.0,TF,1685839691
16,san patricio,28.017,-97.5169,29.92,68,0,3.96,US,1685839691
17,igrim,63.1906,64.4162,16.24,97,98,1.04,RU,1685839691
18,kankanhalli,12.55,77.4167,24.02,81,96,3.23,IN,1685840262
19,grytviken,-54.2811,-36.5092,0.16,92,39,3.6,GS,1685840262
20,alajarvi,63.0,23.8167,5.28,98,99,1.38,FI,1685839693
21,edinburgh of the seven seas,-37.0676,-12.3116,14.12,74,100,5.91,SH,1685839914
22,lorengau,-2.0226,147.2712,28.84,74,100,3.64,PG,1685839915
23,okhotsk,59.3833,143.3,12.82,61,20,3.39,RU,1685840262
24,port alfred,-33.5906,26.891,14.52,75,2,7.36,ZA,1685840262
25,ulladulla,-35.35,150.4667,15.98,72,100,3.0,AU,1685840263
